,boat_name,activity,time
368,El Bendidos,Hooked up,Wednesday @11:39 AM
369,Goombay,Lost (Pulled Hook).,Wednesday @11:11 AM
370,Wolverine,Lost (Pulled Hook).,Wednesday @ 9:38 AM
371,Fishin Physician,Lost (Pulled Hook).,Wednesday @ 9:25 AM
372,Fishin Physician,Hooked up,Wednesday @ 9:25 AM
373,Floridian,Lost (Pulled Hook).,Wednesday @ 9:11 AM
374,Yellowfin,Lost (Pulled Hook).,Wednesday @ 9:09 AM
375,TRAVELER,Lost (Pulled Hook).,Tuesday @ 2:56 PM
376,TRAVELER,Hooked up,Tuesday @ 2:56 PM
377,Wolverine,Lost (Pulled Hook).,Tuesday @ 1:37 PM
378,Pelagic Hunter II,Lost (Pulled Hook).,Tuesday @ 1:17 PM
379,Marlin Fever,Lost (Pulled Hook).,Tuesday @ 1:16 PM
380,Marlin Fever,Hooked up,Tuesday @ 1:16 PM
381,Hatter-Done,Lost (Pulled Hook).,Tuesday @ 1:02 PM
382,Yellowfin,Lost (Pulled Hook).,Tuesday @12:56 PM
383,Yellowfin,Hooked up,Tuesday @12:56 PM
384,Maggie,Lost (Pulled Hook).,Tuesday @11:58 AM
385,Maggie,Hooked up,Tuesday @11:58 AM
386,El Bendidos,Lost (Pulled Hook).,Tuesday @11:53 AM
387,El Bendidos,Hooked up,Tuesday @11:50 AM
388,Talkin Trash,Lost (Pulled Hook).,Tuesday @11:48 AM
389,Retriever,Lost (Pulled Hook).,Tuesday @11:32 AM
390,Retriever,Hooked up,Tuesday @11:32 AM
391,Killin Time,Lost (Pulled Hook).,Tuesday @10:35 AM
392,Bow Movement,Lost (Pulled Hook).,Tuesday @10:05 AM
393,Bow Movement,Hooked up,Tuesday @10:05 AM
394,Post Call,Lost (Pulled Hook).,Tuesday @10:03 AM
395,Post Call,Hooked up,Tuesday @10:03 AM
396,Rolling Stone,Lost (Pulled Hook).,Tuesday @ 9:53 AM
397,Rolling Stone,Hooked up,Tuesday @ 9:53 AM
398,Team Parker,Lost (Pulled Hook).,Tuesday @ 9:22 AM
399,Team Parker,Hooked up,Tuesday @ 9:22 AM
400,Demolished Profits,Lost (Pulled Hook).,Monday @ 2:43 PM
401,Demolished Profits,Hooked up,Monday @ 2:43 PM
402,Mercenaria,Lost (Pulled Hook).,Monday @ 2:02 PM
403,Mercenaria,Hooked up,Monday @ 2:02 PM
404,Justified,Lost (Pulled Hook).,Monday @ 1:00 PM
405,Justified,Hooked up,Monday @12:44 PM
406,Xcessive risk,Lost (Pulled Hook).,Monday @12:58 PM
407,Xcessive risk,Hooked up,Monday @12:58 PM
408,Haphazard,Lost (Pulled Hook).,Monday @12:56 PM
409,Haphazard,Hooked up,Monday @12:56 PM
410,Just Chillin,Lost (Pulled Hook).,Monday @12:36 PM
411,Just Chillin,Hooked up,Monday @12:36 PM
412,Sea Fix,Lost (Pulled Hook).,Monday @12:17 PM
413,Ava D,Lost (Pulled Hook).,Monday @12:02 PM
414,Ava D,Hooked up,Monday @11:13 AM
415,Gret’s Three J’s,Lost (Pulled Hook).,Monday @10:59 AM
416,Gret’s Three J’s,Hooked up,Monday @10:59 AM
417,Sensation,Lost (Pulled Hook).,Monday @10:41 AM
418,Sensation,Lost (Pulled Hook).,Monday @10:32 AM
419,Reel Quick,Lost (Pulled Hook).,Monday @10:06 AM
420,Reel Quick,Hooked up,Monday @ 9:51 AM
421,Dancin Outlaw,Lost (Pulled Hook).,Monday @10:04 AM
422,Bad Habit,Lost (Pulled Hook).,Monday @10:02 AM
423,Bad Habit,Hooked up,Monday @10:02 AM
424,Cane Pole,Lost (Pulled Hook).,Monday @ 9:34 AM
425,Cane Pole,Hooked up,Monday @ 9:34 AM
426,Payroll,Lost (Pulled Hook).,Monday @ 9:18 AM
427,Payroll,Hooked up,Monday @ 9:18 AM
428,Susie Q,Lost (Wrong Species).,Friday @ 2:54 PM
429,Susie Q,Hooked up,Friday @ 2:54 PM
430,Susie Q,Lost (Wrong Species).,Tuesday @ 2:57 PM
431,Susie Q,Hooked up,Tuesday @ 2:57 PM
432,C-Escape,Lost (Wrong Species).,Tuesday @ 1:04 PM
433,C-Escape,Hooked up,Tuesday @ 1:04 PM
434,Justified,Lost (Wrong Species).,Tuesday @10:35 AM
435,Justified,Lost (Pulled Hook).,Tuesday @10:35 AM
436,Second Chance,Lost (Wrong Species).,Tuesday @ 9:12 AM
437,Second Chance,Hooked up,Tuesday @ 9:12 AM
438,Payroll,Lost (Wrong Species).,Tuesday @ 9:10 AM
439,Payroll,Hooked up,Tuesday @ 9:10 AM
440,Moon Dancer,Boated a dq'd blue marlin.,Saturday @11:40 AM
441,Moon Dancer,Hooked up,Saturday @ 9:57 AM
442,Wolverine,Weighed a 22.1 lb dolphin.,Saturday @ 8:25 PM
443,Horse Play,Weighed a 25.8 lb dolphin.,Saturday @ 8:24 PM
444,Hammer Time,Weighed a 27.9 lb dolphin.,Saturday @ 8:15 PM
445,Ava D,Weighed a 35.0 lb dolphin.,Saturday @ 8:14 PM
446,Carolina Girl- Croswait,Weighed a 51.5 lb dolphin.,Saturday @ 8:13 PM
447,Sea Striker,Weighed a 495.0 lb blue marlin.,Saturday @ 2:11 PM
448,Sea Striker,Boated a blue marlin.,Saturday @ 2:11 PM
449,Double B,Weighed a 419.0 lb blue marlin.,Saturday @ 1:22 AM
450,Double B,Boated a blue marlin.,Saturday @ 1:22 AM
451,Reel Love,Weighed a 32.2 lb dolphin.,Friday @ 8:17 PM
452,Fin Planner,Weighed a 32.9 lb dolphin.,Friday @ 8:16 PM
453,Justified,Weighed a 31.8 lb dolphin.,Friday @ 8:15 PM
454,Demolished Profits,Weighed a 15.4 lb dolphin.,Friday @ 8:15 PM
455,TRAVELER,Weighed a 32.5 lb dolphin.,Friday @ 8:14 PM
456,Inspiration,Weighed a 32.7 lb dolphin.,Friday @ 8:13 PM
457,Annie O,Weighed a 23.3 lb dolphin.,Friday @ 8:13 PM
458,Sea I Sea,Weighed a 34.2 lb dolphin.,Friday @ 8:12 PM
459,Reel Country,Weighed a 23.3 lb dolphin.,Friday @ 8:12 PM
460,Poco Loco,Weighed a 23.6 lb dolphin.,Friday @ 8:11 PM
461,Rolling Stone,Weighed a 17.9 lb dolphin.,Friday @ 8:11 PM
462,Chunda,Weighed a 21.3 lb wahoo.,Friday @ 8:10 PM
463,EZ Boy,Weighed a 20.2 lb dolphin.,Friday @ 8:10 PM
464,Watertight,Weighed a 28.8 lb dolphin.,Friday @ 8:09 PM
465,Pelagic Hunter II,Weighed a 495.2 lb blue marlin.,Friday @ 6:18 PM
466,Pelagic Hunter II,Boated a blue marlin.,Friday @ 6:18 PM
467,Pelagic Hunter II,Hooked up,Friday @10:27 AM
468,Bill Collector,Weighed a 453.7 lb blue marlin.,Friday @ 3:30 PM
469,Bill Collector,Boated a blue marlin.,Friday @ 3:30 PM
470,Bill Collector,Hooked up,Friday @10:58 AM
471,April Mae,Weighed a 0.0 lb dq'd blue marlin.,Friday @ 3:08 PM
472,April Mae,Boated a dq'd blue marlin.,Friday @ 3:08 PM
473,April Mae,Hooked up,Friday @ 2:13 PM
474,Game Changer,Weighed a 0.0 lb dq'd blue marlin.,Friday @12:14 PM
475,Game Changer,Boated a dq'd blue marlin.,Friday @12:14 PM
476,Game Changer,Hooked up,Friday @12:06 PM
477,Double B,Weighed a 25.0 lb dolphin.,Thursday @ 6:50 PM
478,Double B,Weighed a 16.9 lb dolphin.,Thursday @ 6:50 PM
479,Marked Off,Weighed a 22.7 lb dolphin.,Thursday @ 6:49 PM
480,Wolverine,Weighed a 37.9 lb dolphin.,Wednesday @ 6:42 PM
481,Renegade,Weighed a 37.1 lb dolphin.,Wednesday @ 6:41 PM
482,Game Changer,Weighed a 35.0 lb dolphin.,Wednesday @ 6:33 PM
483,Orrsman,Weighed a 36.7 lb wahoo.,Wednesday @ 6:32 PM
484,High Time,Weighed a 21.2 lb dolphin.,Wednesday @ 6:29 PM
485,C-Escape,Weighed a 75.2 lb wahoo.,Tuesday @ 9:02 PM
486,Talkin Trash,Weighed a 21.4 lb dolphin.,Tuesday @ 9:01 PM
487,Katessa II,Weighed a 22.2 lb dolphin.,Tuesday @ 9:01 PM
488,Talkin Trash,Weighed a 23.1 lb dolphin.,Tuesday @ 9:01 PM
489,Stetson's Revenge,Weighed a 19.1 lb dolphin.,Tuesday @ 9:00 PM
490,Susie Q,Weighed a 32.4 lb dolphin.,Tuesday @ 9:00 PM
491,Post Call,Weighed a 34.8 lb dolphin.,Tuesday @ 8:59 PM
492,Ocean Stinger,Weighed a 18.8 lb dolphin.,Tuesday @ 8:59 PM
493,Bill Collector,Weighed a 33.5 lb dolphin.,Tuesday @ 8:59 PM
494,Heels N Reels,Weighed a 34.2 lb dolphin.,Tuesday @ 8:58 PM
495,Double B,Weighed a 29.1 lb dolphin.,Tuesday @ 8:58 PM
496,Salt Lick,Weighed a 30.5 lb dolphin.,Tuesday @ 8:58 PM
497,Marsh Madness,Weighed a 28.8 lb dolphin.,Tuesday @ 8:57 PM
498,Singularis,Weighed a 55.2 lb dolphin.,Tuesday @ 8:57 PM
499,Bad Habit,Weighed a 31.5 lb dolphin.,Tuesday @ 8:56 PM
500,Southpaw,Weighed a 28.9 lb dolphin.,Tuesday @ 8:56 PM
501,Fighting Lady,Weighed a 26.8 lb dolphin.,Tuesday @ 8:55 PM
502,Fighting Lady,Weighed a 34.7 lb dolphin.,Tuesday @ 8:53 PM
503,KISS MY GASS,Weighed a 24.7 lb dolphin.,Tuesday @ 8:53 PM
504,Southpaw,Weighed a 20.4 lb dolphin.,Tuesday @ 8:51 PM
505,Carolina Girl,Weighed a 15.6 lb dolphin.,Tuesday @ 8:50 PM
506,Second Chance,Weighed a 25.2 lb dolphin.,Tuesday @ 8:49 PM
507,Justified,Weighed a 29.3 lb dolphin.,Tuesday @ 8:48 PM
508,Reel Steel,Weighed a 450.0 lb blue marlin.,Tuesday @ 5:30 PM
509,Reel Steel,Boated a blue marlin.,Tuesday @ 5:30 PM
510,Reel Steel,Hooked up,Tuesday @10:50 AM
511,Hammer Time,Weighed a 450.2 lb blue marlin.,Tuesday @ 1:21 PM
512,Hammer Time,Boated a blue marlin.,Tuesday @ 1:21 PM
513,Hammer Time,Hooked up,Tuesday @ 9:28 AM
514,Catch 23,Weighed a 442.3 lb blue marlin.,Tuesday @12:15 PM
515,Catch 23,Boated a blue marlin.,Tuesday @12:15 PM
516,Catch 23,Hooked up,Tuesday @10:37 AM
517,Dancin Outlaw,Weighed a 470.4 lb blue marlin.,Tuesday @ 9:43 AM
518,Dancin Outlaw,Boated a blue marlin.,Tuesday @ 9:43 AM
519,Dancin Outlaw,Hooked up,Tuesday @ 9:17 AM
520,Predator,Weighed a 494.2 lb blue marlin.,Monday @ 7:45 PM
521,Predator,Boated a blue marlin.,Monday @ 7:45 PM
522,Predator,Hooked up,Monday @10:41 AM
523,Reel Affair,Weighed a 26.6 lb dolphin.,Monday @ 6:31 PM
524,Job Site,Weighed a 21.9 lb dolphin.,Monday @ 6:10 PM
525,Hammer Time,Weighed a 47.6 lb wahoo.,Monday @ 6:08 PM
526,Hello Dolly,Weighed a 26.5 lb dolphin.,Monday @ 6:05 PM
527,Elcazador,Weighed a 17.6 lb dolphin.,Monday @ 6:03 PM
528,Elcazador,Weighed a 26.6 lb dolphin.,Monday @ 6:01 PM
529,The Reel McKeel,Weighed a 22.9 lb dolphin.,Monday @ 5:54 PM
530,Sashimi,Weighed a 24.6 lb dolphin.,Monday @ 5:53 PM
531,Dorothy Marie,Weighed a 22.5 lb dolphin.,Monday @ 5:52 PM
532,Second Chance,Weighed a 16.8 lb wahoo.,Monday @ 5:48 PM
533,Fin Print,Weighed a 29.1 lb dolphin.,Monday @ 5:46 PM
534,Lovin' Life,Weighed a 22.0 lb dolphin.,Monday @ 5:43 PM
535,Persistence,Weighed a 47.5 lb dolphin.,Monday @ 5:39 PM
536,Salt Lick,Weighed a 46.2 lb dolphin.,Monday @ 5:33 PM
537,Grand Slam,Weighed a 27.4 lb dolphin.,Monday @ 5:11 PM
538,Big Oil,Weighed a 20.7 lb dolphin.,Monday @ 5:02 PM
539,El Bendidos,Weighed a 26.3 lb dolphin.,Monday @ 4:55 PM
540,El Azul,Weighed a 27.3 lb dolphin.,Monday @ 4:50 PM
541,Anniston-Quinn,Weighed a 20.2 lb dolphin.,Monday @ 4:44 PM
