,boat_name,activity,time
37,Savanna Leigh,Released a white marlin.,Saturday @ 1:14 PM
38,Savanna Leigh,Hooked up,Saturday @ 1:12 PM
39,Goombay,Released a blue marlin.,Saturday @ 1:11 PM
40,Goombay,Hooked up,Saturday @ 1:06 PM
41,Knot Done Yet,Released a white marlin.,Saturday @ 1:07 PM
42,Knot Done Yet,Hooked up,Saturday @ 1:03 PM
43,Sea Spell,Lost (Pulled Hook).,Saturday @ 1:04 PM
44,Pelagic,Released a blue marlin.,Saturday @12:48 PM
45,Pelagic,Hooked up,Saturday @12:20 PM
46,Blue Eyes,Lost (Pulled Hook).,Saturday @12:48 PM
47,Blue Eyes,Hooked up,Saturday @12:06 PM
48,Game Keeper,Released a blue marlin.,Saturday @12:48 PM
49,Game Keeper,Hooked up,Saturday @12:44 PM
50,Peggy,Released a sailfish.,Saturday @12:45 PM
51,Peggy,Hooked up,Saturday @12:43 PM
52,Doc Fees,Released a white marlin.,Saturday @12:43 PM
53,Doc Fees,Hooked up,Saturday @12:40 PM
54,Blue Eyes,Released a blue marlin.,Saturday @12:37 PM
55,Blue Eyes,Hooked up,Saturday @12:06 PM
56,Safari,Released a white marlin.,Saturday @12:35 PM
57,Freestyle,Released a white marlin.,Saturday @12:24 PM
58,Freestyle,Hooked up,Saturday @12:24 PM
59,El Cazador,Lost (Pulled Hook).,Saturday @12:23 PM
60,El Cazador,Hooked up,Saturday @12:07 PM
61,Shenandoah,Lost (Pulled Hook).,Saturday @12:05 PM
62,Johnie Floyd,Released a spearfish.,Saturday @12:03 PM
63,Johnie Floyd,Hooked up,Saturday @11:56 AM
64,Sea Creature,Released a blue marlin.,Saturday @11:59 AM
65,Sea Creature,Hooked up,Saturday @11:09 AM
66,Piracy,Released a blue marlin.,Saturday @11:57 AM
67,Piracy,Hooked up,Saturday @11:42 AM
68,Sea I Sea,Released a white marlin.,Saturday @11:56 AM
69,Sea I Sea,Hooked up,Saturday @11:43 AM
70,Double B,Released a white marlin.,Saturday @11:51 AM
71,Double B,Hooked up,Saturday @11:46 AM
72,Skirt Chaser,Released a sailfish.,Saturday @11:29 AM
73,Sea I Sea,Released a white marlin.,Saturday @11:28 AM
74,Sea I Sea,Hooked up,Saturday @11:24 AM
75,OTH,Released a blue marlin.,Saturday @11:23 AM
76,Doc Fees,Released a white marlin.,Saturday @11:17 AM
77,Accordingly IV,Released a blue marlin.,Saturday @11:11 AM
78,Accordingly IV,Hooked up,Saturday @11:03 AM
79,Sea I Sea,Lost (Pulled Hook).,Saturday @11:11 AM
80,Sea I Sea,Hooked up,Saturday @10:58 AM
81,Johnie Floyd,Released a blue marlin.,Saturday @11:03 AM
82,Post Call,Released a white marlin.,Saturday @11:02 AM
83,Post Call,Hooked up,Saturday @10:59 AM
84,Seacurity,Lost (Pulled Hook).,Saturday @10:50 AM
85,Seacurity,Hooked up,Saturday @10:48 AM
86,Talkin Trash,Lost (Pulled Hook).,Saturday @10:48 AM
87,Talkin Trash,Hooked up,Saturday @10:30 AM
88,Builder's Choice,Released a white marlin.,Saturday @10:48 AM
89,Hydrosphere,Lost (Pulled Hook).,Saturday @10:40 AM
90,Hydrosphere,Hooked up,Saturday @10:30 AM
91,Carolina Girl,Released a blue marlin.,Saturday @10:31 AM
92,Carolina Girl,Hooked up,Saturday @10:06 AM
93,Paved For,Lost (Pulled Hook).,Saturday @10:30 AM
94,Paved For,Hooked up,Saturday @10:04 AM
95,Renegade,Lost (Pulled Hook).,Saturday @10:27 AM
96,Singularis,Released a white marlin.,Saturday @10:10 AM
97,Singularis,Hooked up,Saturday @10:06 AM
98,Reel Quick,Released a white marlin.,Saturday @10:03 AM
99,Reel Quick,Hooked up,Saturday @10:00 AM
100,Dancin Outlaw,Released a blue marlin.,Saturday @10:00 AM
101,Dancin Outlaw,Hooked up,Saturday @ 9:49 AM
102,Blue Eyes,Released a white marlin.,Saturday @ 9:34 AM
103,Free Spool,Released a white marlin.,Saturday @ 9:28 AM
104,Free Spool,Hooked up,Saturday @ 9:23 AM
105,Can Do Too,Lost (Pulled Hook).,Saturday @ 9:26 AM
106,Can Do Too,Hooked up,Saturday @ 9:26 AM
107,Post Call,Released a blue marlin.,Saturday @ 9:20 AM
108,Post Call,Hooked up,Saturday @ 9:08 AM
109,Blue Sky,Released a white marlin.,Saturday @ 9:18 AM
110,Sea I Sea,Released a white marlin.,Saturday @ 9:17 AM
111,Sea I Sea,Hooked up,Saturday @ 9:00 AM
112,Bench Mark,Released a spearfish.,Saturday @ 9:10 AM
113,Bench Mark,Hooked up,Saturday @ 9:10 AM
114,Annie O,Released a blue marlin.,Saturday @ 9:04 AM
115,Annie O,Hooked up,Saturday @ 8:50 AM
116,Seacurity,Released a white marlin.,Saturday @ 9:02 AM
117,Seacurity,Hooked up,Saturday @ 8:55 AM
118,Hammer Time,Released a blue marlin.,Saturday @ 8:55 AM
119,Hammer Time,Hooked up,Saturday @ 8:46 AM
120,Bottom Line,Lost (Pulled Hook).,Saturday @ 8:48 AM
121,Bottom Line,Hooked up,Saturday @ 8:48 AM
122,Game Keeper,Released a white marlin.,Saturday @ 8:26 AM
123,Knot Done Yet,Released a sailfish.,Saturday @ 8:10 AM
124,Knot Done Yet,Daily 1st Release,Saturday @ 8:10 AM
125,Marsh Madness,Weighed a 4.1 lb dolphin.,Friday @ 8:05 PM
126,Double Trouble - Beaufort,Weighed a 14.2 lb dolphin.,Friday @ 8:03 PM
127,Brick Slinger,Weighed a 11.6 lb dolphin.,Friday @ 7:51 PM
128,Freyja,Weighed a 19.8 lb dolphin.,Friday @ 7:43 PM
129,Persistence,Weighed a 16.6 lb wahoo.,Friday @ 7:40 PM
130,Predator,Weighed a 145.1 lb tuna.,Friday @ 7:39 PM
131,Uno Mas,Weighed a 59.3 lb wahoo.,Friday @ 7:38 PM
132,Whitecaps,Weighed a 23.8 lb dolphin.,Friday @ 7:17 PM
133,Another Job,Weighed a 21.0 lb dolphin.,Friday @ 6:40 PM
134,Calcutta,Weighed a 20.1 lb dolphin.,Friday @ 6:39 PM
135,Marsh Madness,Weighed a 18.1 lb tuna.,Friday @ 6:37 PM
136,Sea Spell,Weighed a 11.3 lb dolphin.,Friday @ 6:35 PM
137,Talkin Trash,Weighed a 11.5 lb dolphin.,Friday @ 6:34 PM
138,Theresa Jean,Weighed a 24.4 lb dolphin.,Friday @ 6:31 PM
139,Dropped Call,Weighed a 524.7 lb blue marlin.,Friday @ 6:30 PM
140,Dropped Call,Boated a blue marlin.,Friday @ 6:30 PM
141,Dropped Call,Hooked up,Friday @11:49 AM
142,Brick Slinger,Weighed a 10.9 lb dolphin.,Friday @ 6:07 PM
143,Can Do Too,Weighed a 22.2 lb wahoo.,Friday @ 6:06 PM
144,El Cazador,Weighed a 18.0 lb dolphin.,Friday @ 5:58 PM
145,Reelax'n,Weighed a 16.1 lb dolphin.,Friday @ 5:55 PM
146,Builder's Choice,Weighed a 7.7 lb dolphin.,Friday @ 5:53 PM
147,Mama Love,Lost (Pulled Hook).,Friday @ 4:30 PM
148,Mama Love,Hooked up,Friday @12:06 PM
149,Sashimi,Lost (Wrong Species).,Friday @ 3:04 PM
150,Sashimi,Hooked up,Friday @ 2:59 PM
151,Sweetums,Lost (Wrong Species).,Friday @ 2:58 PM
152,Sweetums,Hooked up,Friday @ 2:57 PM
153,18 Reeler,Lost (Pulled Hook).,Friday @ 2:56 PM
154,18 Reeler,Hooked up,Friday @ 2:56 PM
155,Deep Blue,Released a blue marlin.,Friday @ 2:52 PM
156,Deep Blue,Hooked up,Friday @ 2:31 PM
157,Seacurity,Lost (Pulled Hook).,Friday @ 2:39 PM
158,Yellowfin,Lost (Pulled Hook).,Friday @ 2:30 PM
159,Yellowfin,Hooked up,Friday @ 2:28 PM
160,Bench Mark,Lost (Pulled Hook).,Friday @ 2:25 PM
161,Bench Mark,Hooked up,Friday @ 2:17 PM
162,Critter II,Released a blue marlin.,Friday @ 1:58 PM
163,Critter II,Hooked up,Friday @ 1:56 PM
164,Hammer Time,Released a white marlin.,Friday @ 1:54 PM
165,Hammer Time,Hooked up,Friday @ 1:49 PM
166,Viking 80,Released a blue marlin.,Friday @ 1:26 PM
167,Viking 80,Hooked up,Friday @ 1:07 PM
168,Sashimi,Lost (Wrong Species).,Friday @12:50 PM
169,Sashimi,Hooked up,Friday @12:50 PM
170,Bottom Line,Lost (Wrong Species).,Friday @12:42 PM
171,Bottom Line,Hooked up,Friday @12:36 PM
172,Dun-Rite,Released a white marlin.,Friday @12:25 PM
173,Dun-Rite,Hooked up,Friday @12:20 PM
