,boat_name,activity,time
213,Coverage,Released a white marlin.,Wednesday @11:02 AM
214,Pelagic,Lost (Pulled Hook).,Wednesday @10:59 AM
215,Pelagic,Hooked up,Wednesday @10:59 AM
216,Pig Rig,Released a spearfish.,Wednesday @10:57 AM
217,Pig Rig,Hooked up,Wednesday @10:57 AM
218,Double 07,Lost (Pulled Hook).,Wednesday @10:48 AM
219,Double 07,Hooked up,Wednesday @10:48 AM
220,Full Pull,Lost (Pulled Hook).,Wednesday @10:47 AM
221,Full Pull,Hooked up,Wednesday @10:47 AM
222,Dancin Outlaw,Released a blue marlin.,Wednesday @10:45 AM
223,Dancin Outlaw,Hooked up,Wednesday @10:45 AM
224,Wolverine,Released a blue marlin.,Wednesday @10:42 AM
225,Wolverine,Hooked up,Wednesday @10:42 AM
226,Fin Print,Lost (Pulled Hook).,Wednesday @10:40 AM
227,Fin Print,Hooked up,Wednesday @10:40 AM
228,Bank Walker,Lost (Pulled Hook).,Wednesday @10:39 AM
229,Bank Walker,Hooked up,Wednesday @10:39 AM
230,El Cazador,Released a blue marlin.,Wednesday @10:30 AM
231,El Cazador,Hooked up,Wednesday @10:30 AM
232,Carolina Time,Released a blue marlin.,Wednesday @10:27 AM
233,Carolina Time,Hooked up,Wednesday @10:27 AM
234,Maggie,Released a blue marlin.,Wednesday @10:24 AM
235,El Cazador,Lost (Pulled Hook).,Wednesday @10:15 AM
236,El Cazador,Hooked up,Wednesday @10:15 AM
237,Current Sea,Released a blue marlin/unverified.,Wednesday @10:13 AM
238,Current Sea,Hooked up,Wednesday @ 9:50 AM
239,Annie O,Released a blue marlin.,Wednesday @10:10 AM
240,Annie O,Hooked up,Wednesday @10:10 AM
241,Sea I Sea,Released a sailfish.,Wednesday @10:08 AM
242,Sea I Sea,Hooked up,Wednesday @10:08 AM
243,Dun-Rite,Released a blue marlin.,Wednesday @10:07 AM
244,Dun-Rite,Hooked up,Wednesday @10:07 AM
245,Franchise Sails II,Released a blue marlin.,Wednesday @10:06 AM
246,Franchise Sails II,Hooked up,Wednesday @10:06 AM
247,Lo Que Sea,Released a sailfish.,Wednesday @10:03 AM
248,Lo Que Sea,Hooked up,Wednesday @10:03 AM
249,Coverage,Released a blue marlin.,Wednesday @10:02 AM
250,Coverage,Hooked up,Wednesday @10:02 AM
251,Floridian,Released a sailfish.,Wednesday @10:01 AM
252,Job Site,William Farrior released a white marlin.,Wednesday @10:01 AM
253,Feet First,Released a blue marlin.,Wednesday @ 9:59 AM
254,Feet First,Hooked up,Wednesday @ 9:59 AM
255,The General,Released a blue marlin.,Wednesday @ 9:58 AM
256,The General,Hooked up,Wednesday @ 9:58 AM
257,Sensation,Lost (Pulled Hook).,Wednesday @ 9:56 AM
258,Sensation,Hooked up,Wednesday @ 9:56 AM
259,Dancin Outlaw,Released a white marlin.,Wednesday @ 9:53 AM
260,Dancin Outlaw,Hooked up,Wednesday @ 9:53 AM
261,Bench Mark,Released a blue marlin.,Wednesday @ 9:53 AM
262,Bench Mark,Hooked up,Wednesday @ 9:53 AM
263,Let It Ride,Released a white marlin.,Wednesday @ 9:52 AM
264,Bad Becky,Released a blue marlin.,Wednesday @ 9:49 AM
265,Bad Becky,Hooked up,Wednesday @ 9:49 AM
266,Double 07,Released a blue marlin.,Wednesday @ 9:47 AM
267,Double 07,Hooked up,Wednesday @ 9:44 AM
268,Wall Hanger,Released a blue marlin.,Wednesday @ 9:46 AM
269,Wall Hanger,Hooked up,Wednesday @ 9:46 AM
270,Shifting Gears,Released a blue marlin.,Wednesday @ 9:41 AM
271,Knot Done Yet,Lost (Pulled Hook).,Wednesday @ 9:40 AM
272,Knot Done Yet,Hooked up,Wednesday @ 9:40 AM
273,Margaritaville,Lost (Wrong Species).,Wednesday @ 9:34 AM
274,Margaritaville,Hooked up,Wednesday @ 9:34 AM
275,Hammer Time,Released a blue marlin.,Wednesday @ 9:33 AM
276,Hammer Time,Hooked up,Wednesday @ 9:25 AM
277,Fowl Hooked,Released a blue marlin.,Wednesday @ 9:27 AM
278,Fowl Hooked,Hooked up,Wednesday @ 9:17 AM
279,Second Chance,Lost (Wrong Species).,Wednesday @ 9:27 AM
280,Second Chance,Hooked up,Wednesday @ 9:27 AM
281,Gambler,Lost (Pulled Hook).,Wednesday @ 9:26 AM
282,Gambler,Hooked up,Wednesday @ 9:26 AM
283,Desperado,Released a daily 1st release.,Wednesday @ 9:24 AM
284,Desperado,Hooked up,Wednesday @ 9:06 AM
285,Double J,Weighed a 24.2 lb dolphin.,Tuesday @ 6:59 PM
286,Huntress,Weighed a 19.0 lb dolphin.,Tuesday @ 6:58 PM
287,El Cazador,Weighed a 12.0 lb dolphin.,Tuesday @ 6:57 PM
288,Artemis,Weighed a 14.9 lb dolphin.,Tuesday @ 6:30 PM
289,Carnivore,Weighed a 24.0 lb dolphin.,Tuesday @ 6:29 PM
290,Savanna Leigh,Weighed a 18.9 lb dolphin.,Tuesday @ 6:28 PM
291,Uno Mas,Weighed a 15.0 lb dolphin.,Tuesday @ 6:27 PM
292,Lookin Back,Weighed a 18.4 lb dolphin.,Tuesday @ 6:26 PM
293,Fender Bender,Weighed a 20.4 lb dolphin.,Tuesday @ 6:25 PM
294,Feet First,Weighed a 18.4 lb dolphin.,Tuesday @ 6:25 PM
295,Feet First,Weighed a 22.4 lb wahoo.,Tuesday @ 6:22 PM
296,Game Changer,Weighed a 409.2 lb blue marlin.,Tuesday @ 4:09 PM
297,Floridian,Lost (Pulled Hook).,Tuesday @ 3:08 PM
298,Floridian,Hooked up,Tuesday @ 1:07 PM
299,Marlin Gull,Released a sailfish.,Tuesday @ 2:50 PM
300,Lo Que Sea,Released a blue marlin.,Tuesday @ 2:30 PM
301,Lo Que Sea,Hooked up,Tuesday @ 2:30 PM
302,Wall Hanger,Released a blue marlin.,Tuesday @ 2:18 PM
303,Wall Hanger,Hooked up,Tuesday @ 2:18 PM
304,Ann Warrick,Lost (Pulled Hook).,Tuesday @ 2:16 PM
305,Ann Warrick,Hooked up,Tuesday @ 2:16 PM
306,Sensation,Released a blue marlin.,Tuesday @ 2:03 PM
